id,host_is_superhost,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
622020,f,22.28387,114.14753,Apartment,Entire home/apt,2,1,1,1,Real Bed,28,0,97,10,10,10,10,10,9,0.3
634726,f,22.27811,114.17354,Apartment,Entire home/apt,10,1,3,1,Real Bed,19,0,95,10,9,10,10,10,9,0.2
645404,f,22.32619,114.16461,Hostel,Hotel room,1,2.5,1,1,Real Bed,147,6,92,10,9,10,10,9,10,1.56
646645,f,22.32532,114.16433,Hostel,Private room,2,3,1,1,Real Bed,37,1,91,9,9,9,9,9,9,0.39
668338,f,22.31128,114.16836,Apartment,Private room,3,1.5,1,1,Real Bed,107,0,89,9,9,10,10,9,9,1.14
669310,t,22.28616,114.15247,Apartment,Entire home/apt,2,1,0,1,Real Bed,200,21,94,10,10,10,10,10,9,2.64
672039,f,22.31008,114.17026,Apartment,Private room,3,1.5,1,1,Real Bed,152,2,88,9,9,10,10,10,9,1.62
682768,f,22.30942,114.1685,Hotel,Private room,3,1.5,1,1,Real Bed,141,7,91,10,9,10,10,10,9,1.5
682794,f,22.31145,114.16845,Apartment,Private room,3,1.5,1,1,Real Bed,140,4,89,9,9,10,10,10,9,1.51
682797,f,22.31082,114.17003,Apartment,Private room,2,1.5,1,1,Real Bed,210,3,90,10,9,10,10,10,9,2.23
714585,f,22.27904,114.17084,Apartment,Entire home/apt,11,3,4,7,Real Bed,255,13,87,9,9,10,10,10,9,2.77
720841,f,22.30599,114.1712,Apartment,Private room,2,1.5,1,1,Real Bed,30,0,85,8,9,9,9,9,9,0.32
724382,f,22.30745,114.17138,House,Private room,3,1,1,1,Real Bed,212,3,91,10,9,10,10,10,10,2.26
724428,f,22.30759,114.17105,House,Private room,4,1,1,1,Real Bed,156,1,91,10,9,10,10,10,10,1.68
724853,f,22.3062,114.17224,House,Private room,3,1,1,1,Real Bed,113,1,89,9,9,9,10,10,9,1.21
724874,f,22.30615,114.17108,House,Private room,2,1,1,1,Real Bed,193,4,91,9,9,10,10,10,9,2.09
728122,f,22.31692,114.1699,Apartment,Private room,5,1,1,2,Real Bed,9,1,83,8,8,9,9,9,7,0.1
728126,f,22.31618,114.16924,Apartment,Private room,2,1,1,2,Real Bed,17,0,86,9,9,9,9,9,9,0.19
730356,f,22.30757,114.17139,Apartment,Private room,3,1.5,1,1,Real Bed,20,1,83,8,8,9,9,9,8,0.21
730367,f,22.30761,114.17112,Apartment,Private room,5,1.5,1,1,Real Bed,24,0,92,9,9,9,9,9,9,0.26
730379,f,22.30618,114.17221,Apartment,Private room,4,1.5,1,1,Real Bed,22,0,84,8,9,9,9,9,8,0.24
733192,f,22.32135,114.16919,Apartment,Entire home/apt,8,1,2,3,Real Bed,78,0,93,9,9,10,9,10,9,0.84
741955,f,22.31827,114.16853,Apartment,Private room,2,1,1,1,Real Bed,15,0,89,9,8,9,10,10,9,0.17
742040,f,22.31642,114.17003,Apartment,Private room,1,1,1,1,Real Bed,43,2,85,9,8,9,9,9,9,0.48
744230,f,22.2822,114.1518,Apartment,Entire home/apt,2,1,1,1,Real Bed,7,0,91,10,9,10,9,9,9,0.12
754511,f,22.27926,114.19207,Apartment,Entire home/apt,3,1,2,2,Real Bed,14,0,90,9,9,10,10,10,9,0.15
764696,t,22.50262,114.13418,Apartment,Private room,1,1,1,1,Real Bed,39,1,94,10,10,10,10,9,9,0.42
767022,f,22.23011,114.21856,Apartment,Entire home/apt,7,2,3,6,Real Bed,5,0,100,10,10,10,10,10,9,0.06
767500,f,22.30564,114.17184,Apartment,Private room,2,1,1,1,Real Bed,198,0,84,8,9,9,9,9,9,2.19
767707,f,22.31841,114.16981,Apartment,Entire home/apt,6,1,2,1,Real Bed,147,8,89,9,9,10,9,10,9,1.63
775458,t,22.28067,114.17878,Apartment,Entire home/apt,4,1,2,3,Real Bed,328,9,95,10,9,10,10,10,9,3.55
775479,f,22.3195,114.16799,Apartment,Shared room,1,1,1,1,Real Bed,189,5,94,9,9,10,10,10,9,2.42
777269,f,22.27912,114.18398,Condominium,Private room,2,1,1,1,Real Bed,113,1,86,9,9,9,9,10,9,1.25
782604,f,22.28346,114.13047,Condominium,Entire home/apt,3,1,2,2,Real Bed,28,0,94,10,9,10,10,9,9,0.31
792974,f,22.28,114.15218,Apartment,Entire home/apt,2,1,0,2,Real Bed,23,3,95,10,9,9,10,10,10,0.27
811505,f,22.28359,114.14685,Apartment,Entire home/apt,2,1,1,1,Real Bed,36,0,96,10,10,10,10,10,10,0.4
816463,f,22.28325,114.13124,Apartment,Entire home/apt,4,1,1,2,Real Bed,10,0,91,9,9,9,10,9,9,0.11
823455,f,22.33455,114.15992,Apartment,Entire home/apt,10,1,2,3,Real Bed,71,0,90,10,9,10,9,9,9,0.78
825843,f,22.3072,114.17009,Apartment,Shared room,1,2,1,1,Real Bed,173,0,89,9,9,9,9,9,9,2.13
825899,f,22.30553,114.17202,Apartment,Shared room,1,2,1,1,Real Bed,132,0,88,9,9,9,9,9,9,1.54
844447,f,22.27541,114.1707,Apartment,Entire home/apt,3,1,1,2,Real Bed,27,0,98,10,10,10,10,10,9,0.3
846482,f,22.28638,114.14055,Apartment,Entire home/apt,3,1,2,2,Futon,125,14,90,10,8,10,10,10,9,1.4
846855,f,22.27666,114.17117,Condominium,Private room,1,1,1,1,Real Bed,1,0,94,10,10,10,10,10,8,0.01
849316,f,22.27742,114.18156,Apartment,Entire home/apt,4,1,1,3,Real Bed,78,4,89,10,9,10,10,10,9,0.97
850531,t,22.27994,114.18966,Apartment,Private room,2,1,1,1,Real Bed,500,27,97,10,9,10,10,10,10,5.51
857837,f,22.27111,114.17399,House,Shared room,1,1,1,1,Real Bed,11,0,91,8,9,10,10,9,8,0.13
865757,f,22.28048,114.15282,Apartment,Entire home/apt,3,1,1,1,Real Bed,8,1,100,10,9,10,10,10,10,0.09
869969,t,22.32611,114.17727,Apartment,Private room,1,1,1,1,Real Bed,2,0,80,8,9,9,8,8,10,0.02
872466,t,22.44056,114.07318,Apartment,Private room,2,1,1,0,Real Bed,55,4,95,9,9,10,10,9,9,0.65
881740,f,22.29636,114.1734,Apartment,Entire home/apt,4,1,2,2,Real Bed,295,13,94,10,10,10,10,10,9,3.29
881913,f,22.28516,114.14735,Condominium,Entire home/apt,2,1,1,1,Real Bed,1,0,100,10,10,10,10,10,10,0.02
895382,f,22.28546,114.15137,Apartment,Entire home/apt,4,1,2,2,Real Bed,4,1,90,9,9,10,10,10,9,0.27
897942,f,22.29636,114.1734,Apartment,Entire home/apt,4,1,2,2,Real Bed,338,21,95,10,9,10,10,10,9,3.79
903169,t,22.3131,114.16861,Apartment,Private room,1,1,1,1,Real Bed,2,0,90,10,7,10,10,9,8,0.03
911684,f,22.2751,114.17343,Apartment,Entire home/apt,1,1,0,1,Real Bed,263,14,90,9,9,10,10,10,9,3.73
923017,t,22.32471,114.16751,Apartment,Entire home/apt,8,1,3,4,Real Bed,353,7,96,10,10,10,10,10,10,4.06
944283,f,22.28457,114.15375,Apartment,Entire home/apt,2,1,2,2,Real Bed,63,7,91,9,9,10,9,10,9,0.71
956857,f,22.28445,114.15366,Apartment,Private room,2,1,1,1,Real Bed,5,0,100,10,10,10,10,10,10,0.06
957513,f,22.28666,114.14629,Apartment,Entire home/apt,2,1,1,1,Real Bed,36,1,92,9,9,9,10,10,9,0.41
985636,f,22.28091,114.18477,Apartment,Private room,2,1,1,1,Real Bed,1,0,80,10,8,10,10,10,8,0.02
992390,t,22.28289,114.15293,Apartment,Entire home/apt,3,1,0,2,Real Bed,139,7,91,10,9,10,10,10,9,1.58
999123,f,22.28455,114.15527,Apartment,Entire home/apt,2,1,0,1,Real Bed,59,0,91,9,9,10,10,10,9,0.7
1008590,f,22.29796,114.17181,Hostel,Shared room,1,8,1,1,Real Bed,110,0,89,9,8,9,9,10,9,1.26
1016855,t,22.2861,114.15099,Apartment,Private room,1,1,1,1,Real Bed,2,0,70,7,7,10,9,10,6,0.03
1019390,f,22.28671,114.15093,Apartment,Private room,1,1,1,1,Real Bed,66,0,96,10,10,10,10,10,9,0.76
1022377,f,22.24189,113.9801,Apartment,Entire home/apt,4,1,1,1,Real Bed,145,10,93,10,9,10,10,9,9,1.86
1033352,t,22.27863,114.18214,Apartment,Private room,1,1,1,1,Real Bed,1,0,100,6,8,8,8,10,10,0.01
1043780,t,22.27805,114.17962,Apartment,Private room,2,1,1,1,Real Bed,20,8,96,9,10,10,10,9,9,0.24
1058541,t,22.27802,114.17961,Apartment,Entire home/apt,10,3,3,6,Real Bed,57,1,95,9,10,10,10,9,9,0.67
1062445,f,22.29826,114.17071,Apartment,Entire home/apt,6,1,1,0,Real Bed,122,11,82,9,8,9,9,9,9,1.61
1067465,f,22.27727,114.18505,Guest suite,Entire home/apt,2,1,1,1,Real Bed,121,0,84,9,8,9,9,10,9,1.4
1079351,t,22.3194,114.17246,Apartment,Entire home/apt,12,2,4,4,Real Bed,358,15,93,9,9,9,10,10,9,4.31
1108132,f,22.28235,114.15195,Apartment,Entire home/apt,2,1,1,1,Real Bed,383,33,93,9,10,10,10,10,9,4.41
1127705,f,22.28413,114.14525,Apartment,Entire home/apt,4,1,2,3,Real Bed,20,3,91,9,10,10,10,9,9,0.24
1157314,f,22.28622,114.1372,Condominium,Entire home/apt,2,1,1,1,Real Bed,114,14,93,10,9,10,10,10,9,2.28
1165573,t,22.2827,114.15156,Apartment,Entire home/apt,2,1,1,1,Real Bed,117,4,90,9,9,9,9,10,9,1.36
1171633,t,22.28564,114.15084,Apartment,Private room,1,1,1,1,Real Bed,2,0,40,9,3,5,5,8,4,0.03
1182474,f,22.31463,114.16885,Apartment,Private room,2,1,0,2,Real Bed,101,15,92,10,10,10,10,10,10,1.42
1187498,t,22.28755,114.148,Apartment,Private room,1,1,1,1,Real Bed,2,0,70,4,7,5,7,7,6,0.02
1229848,f,22.21978,114.21338,Apartment,Entire home/apt,3,1,1,1,Real Bed,30,0,89,9,8,9,10,10,8,0.38
1233830,f,22.2187,114.21275,Apartment,Entire home/apt,5,1,1,2,Real Bed,170,38,95,10,9,10,10,10,9,2.04
1286397,f,22.30177,114.17573,Apartment,Entire home/apt,5,1,2,2,Real Bed,82,3,90,9,9,9,9,9,9,0.97
1345297,f,22.2813,114.15143,Apartment,Entire home/apt,2,1,1,1,Real Bed,1,0,80,10,8,10,8,10,10,0.01
1453845,t,22.29605,114.17395,Apartment,Entire home/apt,2,1,1,1,Real Bed,61,1,91,10,9,9,9,10,9,0.77
1476913,f,22.2767,114.17267,Apartment,Entire home/apt,3,1,1,2,Real Bed,9,0,82,9,8,10,9,9,8,0.11
1481567,f,22.28303,114.12776,Apartment,Entire home/apt,2,1,1,1,Real Bed,1,1,100,10,10,10,10,10,10,0.09
1507536,f,22.29771,114.16972,Apartment,Entire home/apt,6,1,1,4,Real Bed,32,0,95,10,9,10,10,10,9,1.09
1524471,f,22.27744,114.17035,Apartment,Entire home/apt,2,1,0,1,Real Bed,92,0,95,10,10,10,10,10,9,1.13
1534018,f,22.28591,114.13646,Apartment,Private room,1,1,1,1,Real Bed,1,0,80,10,6,8,10,6,6,0.01
1564248,f,22.28264,114.15133,Apartment,Entire home/apt,2,1,0,1,Real Bed,9,0,89,10,10,10,10,10,9,0.15
1567495,f,22.3057,114.17191,Apartment,Private room,2,1,1,1,Real Bed,49,0,81,8,9,9,9,9,8,0.59
1606207,t,22.27792,114.17049,Apartment,Entire home/apt,7,3,3,4,Real Bed,22,0,91,9,9,10,9,9,8,0.27
1608490,f,22.31801,114.171,Apartment,Entire home/apt,6,1,2,3,Real Bed,68,0,84,9,9,9,9,9,9,0.83
1610503,f,22.28127,114.15358,Apartment,Entire home/apt,2,1,2,1,Real Bed,6,0,90,9,9,9,10,10,9,0.07
1615676,f,22.32017,114.17124,Apartment,Private room,2,1,1,2,Real Bed,3,0,80,8,9,10,9,8,7,0.04
1620620,f,22.32361,114.16651,Apartment,Entire home/apt,7,1,2,4,Real Bed,203,2,87,9,9,10,10,10,9,2.79
1622894,f,22.29236,114.14844,Apartment,Entire home/apt,2,1,1,1,Real Bed,14,1,96,10,10,10,10,10,10,0.17
1623311,f,22.28118,114.15244,Apartment,Entire home/apt,3,1,1,1,Real Bed,7,0,100,10,10,10,10,10,10,0.09
1643979,t,22.27733,114.17188,Apartment,Entire home/apt,7,3,3,4,Real Bed,25,0,92,9,10,10,10,9,9,0.3
1697582,t,22.27696,114.17063,Apartment,Entire home/apt,16,4.5,7,9,Real Bed,39,2,91,9,9,10,10,10,9,0.48
1702604,f,22.31562,114.16881,Apartment,Entire home/apt,12,4,4,6,Real Bed,7,0,68,8,8,8,9,10,7,0.09
1708543,f,22.2813,114.15415,Apartment,Entire home/apt,2,1,0,1,Real Bed,8,0,87,9,9,9,10,10,9,0.1
1711752,f,22.2738,114.17793,Guest suite,Entire home/apt,2,1,1,1,Real Bed,74,0,84,9,8,9,9,10,8,0.91
1711948,f,22.27283,114.17128,Apartment,Entire home/apt,2,1,0,1,Real Bed,69,1,83,9,8,9,9,9,8,0.85
1745925,f,22.31255,114.1699,Apartment,Private room,2,1.5,1,1,Real Bed,127,0,92,9,9,10,10,10,9,1.58
1749208,f,22.31332,114.16971,Aparthotel,Private room,2,1,0,1,Real Bed,77,0,91,9,9,10,10,9,9,0.97
1752310,f,22.27471,114.17536,Apartment,Entire home/apt,2,1,0,1,Real Bed,119,4,95,10,10,10,10,10,9,1.47
1756864,f,22.28032,114.15059,Condominium,Entire home/apt,6,2,3,4,Real Bed,10,2,100,10,10,10,10,10,9,0.13
1756896,f,22.27955,114.15246,Condominium,Entire home/apt,4,1,2,2,Real Bed,17,0,91,9,9,9,9,10,9,0.21
1759734,f,22.28476,114.15016,Apartment,Entire home/apt,2,1,1,1,Real Bed,2,0,100,9,8,10,10,10,9,0.03
1799637,f,22.31377,114.16989,Apartment,Entire home/apt,9,3,3,0,Real Bed,27,0,78,8,8,9,9,10,8,0.33
1799798,f,22.31671,114.16995,Apartment,Entire home/apt,6,1,2,4,Real Bed,5,0,96,9,10,10,10,10,9,0.07
1800060,f,22.27987,114.15639,Apartment,Entire home/apt,6,2.5,4,4,Real Bed,16,4,91,10,9,10,10,9,9,0.2
1800200,f,22.18611,114.13048,Apartment,Private room,2,1,1,2,Real Bed,1,0,100,10,10,10,10,10,10,0.02
1803521,f,22.31278,114.1719,Apartment,Entire home/apt,2,1,1,2,Real Bed,7,0,80,8,7,8,9,10,8,0.1
1808691,f,22.31327,114.17157,Apartment,Private room,2,1.5,1,0,Real Bed,8,0,83,8,9,9,9,9,8,0.11
1816287,f,22.31335,114.17061,Hut,Private room,2,1.5,1,0,Real Bed,4,0,85,9,10,10,10,10,8,0.06
1819281,f,22.27817,114.18396,Apartment,Private room,2,1,1,1,Real Bed,158,0,97,10,10,10,10,10,10,1.96
1825634,f,22.32935,114.16549,Apartment,Private room,3,1.5,1,2,Real Bed,4,0,100,10,10,10,10,10,10,0.05
1832930,t,22.52438,114.18173,Apartment,Private room,1,1,1,1,Real Bed,14,2,96,10,9,10,10,9,10,0.19
1835565,f,22.31817,114.17085,Apartment,Private room,2,1,1,2,Real Bed,1,0,80,10,10,6,4,10,8,0.02
1838581,t,22.27829,114.17204,Apartment,Private room,2,1,1,1,Real Bed,7,0,94,9,9,9,9,9,9,0.09
1838603,t,22.27698,114.1706,Apartment,Private room,3,2.5,1,2,Real Bed,4,0,95,10,10,10,10,10,9,0.05
1838607,t,22.2782,114.17003,Apartment,Private room,2,2.5,1,1,Real Bed,21,0,91,9,10,9,10,9,9,0.27
1838612,t,22.2773,114.17055,Apartment,Private room,2,2.5,1,1,Real Bed,14,0,91,9,9,9,9,9,9,0.19
1838620,t,22.27674,114.17053,Apartment,Private room,2,2.5,1,1,Real Bed,16,0,94,10,10,10,10,10,9,0.2
1838624,t,22.27653,114.17203,Apartment,Private room,2,1,1,1,Real Bed,5,0,100,10,10,10,10,10,9,0.09
1849525,f,22.31786,114.1714,Apartment,Private room,3,1,1,2,Real Bed,2,0,100,10,10,10,10,10,10,0.04
1851862,f,22.31859,114.17028,Apartment,Private room,2,1,1,1,Real Bed,10,0,82,9,8,9,7,10,9,0.14
1852730,f,22.28056,114.15086,Apartment,Entire home/apt,4,2,2,2,Real Bed,1,0,100,10,10,10,10,10,10,0.02
1854378,f,22.31817,114.17204,Apartment,Entire home/apt,6,1,2,3,Real Bed,73,0,89,9,9,9,9,9,9,0.92
1870508,f,22.28237,114.19172,Apartment,Entire home/apt,3,1,1,2,Real Bed,12,0,91,9,10,9,10,10,9,0.15
1887852,t,22.27927,114.15856,Apartment,Entire home/apt,2,1,1,1,Real Bed,2,0,90,9,9,10,8,10,7,0.03
1896903,f,22.28283,114.12934,Apartment,Entire home/apt,2,1,2,1,Real Bed,2,0,93,9,9,10,10,9,9,0.03
1906974,f,22.31805,114.17072,Apartment,Private room,2,1.5,1,1,Real Bed,206,5,88,9,9,9,9,10,9,3.38
1910193,t,22.28894,114.19875,Apartment,Private room,1,1,1,1,Real Bed,1,0,40,4,2,4,4,10,6,0.02
1910291,t,22.28091,114.15313,Apartment,Entire home/apt,2,1,0,1,Real Bed,177,16,95,10,10,10,10,10,10,2.21
1922220,t,22.28294,114.15277,Apartment,Entire home/apt,3,1,0,2,Real Bed,89,0,90,9,9,10,10,10,9,1.12
1925530,f,22.28435,114.14877,Apartment,Entire home/apt,2,1,1,1,Real Bed,7,0,100,10,10,10,10,10,9,0.09
1927047,f,22.33461,114.16023,Apartment,Private room,2,1,1,1,Real Bed,53,0,91,9,9,9,9,9,9,0.7
1932513,f,22.28495,114.15491,Apartment,Entire home/apt,2,1,1,2,Real Bed,11,0,96,10,10,9,10,10,9,0.14
1932651,f,22.32103,114.16752,Apartment,Entire home/apt,4,1,1,3,Real Bed,33,0,85,9,8,9,10,10,8,0.42
1934882,f,22.28462,114.13458,Apartment,Entire home/apt,3,1,1,2,Real Bed,33,4,88,9,9,10,9,9,9,0.41
1937332,f,22.28512,114.13878,Apartment,Entire home/apt,2,1,1,1,Real Bed,2,0,90,10,10,10,10,9,9,0.03
1944230,f,22.29247,114.02224,Apartment,Entire home/apt,8,2,3,3,Real Bed,55,6,93,10,9,9,10,9,9,0.7
1950932,f,22.36607,114.17618,Apartment,Entire home/apt,4,1,1,1,Real Bed,76,2,91,9,9,10,10,9,9,0.98
1971970,t,22.27647,114.17634,Apartment,Private room,1,1,1,1,Real Bed,1,0,80,8,6,6,10,10,6,0.02
1980034,f,22.27402,114.17296,Apartment,Entire home/apt,2,1,1,2,Real Bed,54,0,80,9,8,8,9,9,8,0.68
2002611,f,22.28427,114.13076,Apartment,Entire home/apt,2,1,0,1,Real Bed,10,0,88,10,9,10,10,9,9,0.13
2019027,f,22.28672,114.14141,Apartment,Private room,2,1,1,0,Real Bed,3,0,100,10,10,10,10,10,9,0.12
2034064,f,22.27992,114.15519,Apartment,Entire home/apt,5,1,2,3,Real Bed,9,0,97,9,9,10,10,10,9,0.11
2038687,f,22.38428,114.20506,Apartment,Entire home/apt,3,1,1,2,Real Bed,72,5,96,10,10,10,10,10,10,0.92
2039450,t,22.27893,114.18588,Apartment,Entire home/apt,1,1,0,1,Real Bed,3,3,100,9,9,10,10,10,9,0.26
2039863,f,22.28608,114.1912,Apartment,Entire home/apt,6,1,2,3,Real Bed,52,1,92,9,9,10,10,9,9,0.67
2047709,f,22.28442,114.15198,Apartment,Entire home/apt,2,1,0,2,Real Bed,4,0,85,9,9,9,8,10,10,0.05
2076354,f,22.29655,114.02498,Apartment,Entire home/apt,5,1,1,2,Real Bed,24,3,90,9,10,10,10,9,9,0.31
2079554,t,22.28559,114.13632,Apartment,Private room,2,1,1,1,Real Bed,1,0,100,10,10,10,10,10,8,0.01
2099444,f,22.28974,114.14273,Apartment,Entire home/apt,2,1,1,1,Real Bed,21,1,98,10,10,10,10,10,9,0.3
2161352,f,22.3043,114.17082,Apartment,Private room,3,1,1,2,Real Bed,2,0,100,9,7,8,10,10,9,0.03
2165914,f,22.28243,114.18624,Apartment,Entire home/apt,3,1,2,3,Real Bed,18,0,91,9,9,10,10,10,9,0.23
2175429,f,22.36485,114.17597,Loft,Entire home/apt,3,1,1,1,Real Bed,102,3,87,9,8,9,9,8,8,1.35
2184084,f,22.28204,114.13888,Apartment,Entire home/apt,2,1,1,1,Real Bed,20,0,94,10,9,9,10,9,9,0.26
2189567,f,22.28365,114.14861,Apartment,Entire home/apt,2,1,0,1,Real Bed,7,0,100,10,10,10,10,10,10,0.1
2190412,t,22.27912,114.15361,Apartment,Entire home/apt,4,1,2,2,Real Bed,58,5,93,10,9,10,10,10,9,0.75
2190971,f,22.30927,114.17056,Guesthouse,Shared room,1,2.5,1,3,Real Bed,57,1,91,9,9,9,9,10,9,0.97
2213514,f,22.28247,114.14645,Apartment,Entire home/apt,6,2,2,2,Real Bed,10,0,98,10,10,10,9,9,9,0.2
2217839,t,22.288,114.19466,Apartment,Private room,2,1,1,1,Real Bed,1,0,100,10,10,10,8,10,10,0.01
2228863,f,22.28196,114.15137,Apartment,Entire home/apt,4,1,1,1,Real Bed,55,0,95,10,9,10,10,10,9,0.71
2246101,f,22.27889,114.17146,Apartment,Entire home/apt,10,2,3,6,Real Bed,158,10,88,9,9,10,10,10,9,2.08
